"model","effect","estimate","SE","lower95","upper95"
"gpt_bert_10M_masked","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.533401991639952,0.26619072021713,0.0116681800143768,1.05513580326553
"gpt_bert_10M_mixed","Regularity × plurality interaction",0.535788629736156,0.256464748660991,0.0331177223606127,1.0384595371117
"gpt_bert_10M_mixed","Regular plural effect
(e.g., ducks trader vs. duck trader)",1.13318877347854,0.232041692383684,0.678387056406522,1.58799049055056
"gpt_bert_10M_mixed","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.597400143742387,0.232041692383685,0.142598426670364,1.05220186081441
"gpt_wee_large","Regularity × plurality interaction",0.642419666051914,0.291031875500578,0.071997190070781,1.21284214203305
"gpt_wee_large","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.669843516179684,0.332291046942131,0.018553064173107,1.32113396818626
"gpt_wee_large","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.0274238501277703,0.332291046942131,-0.623866601878806,0.678714302134346
"gpt_wee_medium","Regularity × plurality interaction",0.506420316440742,0.211069019016879,0.0927250391676585,0.920115593713826
"gpt_wee_medium","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.571075401135888,0.247064228148751,0.0868295139643357,1.05532128830744
"gpt_wee_medium","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.0646550846951462,0.247064228148751,-0.419590802476406,0.548900971866699
"gpt_wee_small","Regularity × plurality interaction",0.515306472778338,0.12587205367763,0.268597247570183,0.762015697986492
"gpt_wee_small","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.61601596219194,0.144521099968955,0.332754606252788,0.899277318131092
"gpt_wee_small","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.100709489413602,0.144521099968955,-0.18255186652555,0.383970845352755
"MOEP","Regularity × plurality interaction",0.134540029934465,0.232524495062051,-0.321207980387154,0.590288040256084
"MOEP","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.969486641032346,0.164419647250354,0.647224132421652,1.29174914964304
"MOEP","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.834946611097881,0.164419647250354,0.512684102487187,1.15720911970857
"MOP","Regularity × plurality interaction",0.606305250099734,0.351171683861558,-0.0819912502689208,1.29460175046839
"MOP","Regular plural effect
(e.g., ducks trader vs. duck trader)",1.27058700152805,0.426326180080723,0.434987688569832,2.10618631448627
"MOP","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.664281751428315,0.426326180080723,-0.171317561529901,1.49988106438653
"OPT_10M","Regularity × plurality interaction",1.2055633578978,0.889327973032338,-0.53751946924558,2.94864618504118
"OPT_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",2.10169991850852,0.607444607725178,0.911108487367166,3.29229134964986
"OPT_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.896136560610713,0.568321030189028,-0.217772658559783,2.01004577978121
"what_if_baseline","Regularity × plurality interaction",0.653145102517954,0.399979987770562,-0.130815673512348,1.43710587854826
"what_if_baseline","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.646480700799401,0.282828561691477,0.0921367198841065,1.2008246817147
"what_if_baseline","Irregular plural effect
(e.g., geese trader vs. goose trader)",-0.00666440171855276,0.282828561691477,-0.561008382633848,0.547679579196742
"ZLATA","Regularity × plurality interaction",0.332958114998702,0.135703170509867,0.066979900799363,0.598936329198041
"ZLATA","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.541990050247586,0.17305734137361,0.20279766115531,0.881182439339862
"ZLATA","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.209031935248884,0.173057341373611,-0.130160453843393,0.548224324341161
